sensor_name,device_id,longName,description,serialNumber,manufacturer,model,citation,companyName,name
buoy,1837,Surface Velocity Profiler 2017P23,"Surface Velocity Profilers are designed to observe sea ice drift through GPS position measurements. The term SVP is used in various ways for many similar types of sensors utilized in ocean sciences, including a drogue to make the surface unit drift with the ocean currents and less with the wind. Our main application is to place the SVPs on sea ice to track the movement of a floe, but they may continue drifting in the ocean even after the floe has melted in summer.",300234062880930,MetOcean SVP-I-BDGS (FID4030),Surface Velocity Profiler (iSVP),https://hdl.handle.net/10013/sensor.24075f32-93f9-4088-b2e6-ea8b79146c4b,, 
buoy,2454,Snow Buoy 2017S51,"The Snow Buoy determines the distance between four acoustic sounders, mounted on a frame at a height of 1.5 m, and the underlying surface (usually ice and snow). Conversion of the distance data to actual snow height is achieved by calibration to initial in-situ snow depth measurements below the acoustic sounders during deployment. Hourly measurements result in a time series of snow height evolution at the location of the buoy. Negative values of snow height occur if surface ablation continues into the sea ice. Thus, all snow height measurements describe the surface elevation relative to the original snow-ice interface. Differences between single sensors indicate small-scale variability of the snow pack around the buoy. In addition to snow height, geographic position (GPS), barometric pressure, ait temperature and an internal hull temperature are recorded. 
",300234062788471,MetOcean ICEB-I-TBAS-SH-A (FID4052),Snow Buoy,https://hdl.handle.net/10013/sensor.8f48c842-d266-42a1-b592-a402299d0eff,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,2455,Snow Buoy 2014S13,"The Snow Buoy determines the distance between four acoustic sounders, mounted on a frame at a height of 1.5 m, and the underlying surface (usually ice and snow). Conversion of the distance data to actual snow height is achieved by calibration to initial in-situ snow depth measurements below the acoustic sounders during deployment. Hourly measurements result in a time series of snow height evolution at the location of the buoy. Negative values of snow height occur if surface ablation continues into the sea ice. Thus, all snow height measurements describe the surface elevation relative to the original snow-ice interface. Differences between single sensors indicate small-scale variability of the snow pack around the buoy. In addition to snow height, geographic position (GPS), barometric pressure, ait temperature and an internal hull temperature are recorded. 
",300234061610020,MetOcean ICEB-I-TBAS-SH (FID4052),Snow Buoy,https://hdl.handle.net/10013/sensor.cb3a1ad2-0e04-4c9c-9619-1e4375d58fdd,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,2456,Snow Buoy 2014S14,"The Snow Buoy determines the distance between four acoustic sounders, mounted on a frame at a height of 1.5 m, and the underlying surface (usually ice and snow). Conversion of the distance data to actual snow height is achieved by calibration to initial in-situ snow depth measurements below the acoustic sounders during deployment. Hourly measurements result in a time series of snow height evolution at the location of the buoy. Negative values of snow height occur if surface ablation continues into the sea ice. Thus, all snow height measurements describe the surface elevation relative to the original snow-ice interface. Differences between single sensors indicate small-scale variability of the snow pack around the buoy. In addition to snow height, geographic position (GPS), barometric pressure, ait temperature and an internal hull temperature are recorded. 
",300234061610030,MetOcean ICEB-I-TBAS-SH (FID4052),Snow Buoy,https://hdl.handle.net/10013/sensor.fd1b0169-2121-4582-add0-c3ebf53f13a9,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,2462,Snow Buoy 2018S65,"The Snow Buoy determines the distance between four acoustic sounders, mounted on a frame at a height of 1.5 m, and the underlying surface (usually ice and snow). Conversion of the distance data to actual snow height is achieved by calibration to initial in-situ snow depth measurements below the acoustic sounders during deployment. Hourly measurements result in a time series of snow height evolution at the location of the buoy. Negative values of snow height occur if surface ablation continues into the sea ice. Thus, all snow height measurements describe the surface elevation relative to the original snow-ice interface. Differences between single sensors indicate small-scale variability of the snow pack around the buoy. In addition to snow height, geographic position (GPS), barometric pressure, ait temperature and an internal hull temperature are recorded. 
",300234065627390,MetOcean ICEB-I-TBAS-SH-A (FID4052),Snow Buoy,https://hdl.handle.net/10013/sensor.a8833bcd-72f0-43b9-a144-e90db62db73b,, 
buoy,2513,Radiation station 2018R2,,300025060605470,BruncinRadiation,Radiation Station,https://hdl.handle.net/10013/sensor.a5bdbeec-27da-43b5-841f-f8265bb69237,, 
buoy,2515,IMBflex M14,"The main component of the modular sea ice buoy is a thermistor string measuring air, snow, ice, and water temperatures. But in addition, it allows a most flexible configuration of additional sensors above, in, and under the ice. The main component is designed to be installed on an ice floe, including batteries and all control electronics. The unit usually has a small photo camera included. An above and under ice mast holds additional sensors. Sensor configurations vary from unit to unit, but all 
platforms report GPS position and atmospheric data via Iridium.",300025010025370,Basic,IMBflex,https://hdl.handle.net/10013/sensor.72df8fcd-96ff-413b-80e7-e479226dd29c,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,1895,Surface Velocity Profiler 2016P31,"Surface Velocity Profilers are designed to observe sea ice drift through GPS position measurements. The term SVP is used in various ways for many similar types of sensors utilized in ocean sciences, including a drogue to make the surface unit drift with the ocean currents and less with the wind. Our main application is to place the SVPs on sea ice to track the movement of a floe, but they may continue drifting in the ocean even after the floe has melted in summer.",300234064507510,MetOcean SVP-I-BDGS (FID4030),Surface Velocity Profiler (iSVP),https://hdl.handle.net/10013/sensor.bc6ae5a4-532b-4dcf-bb6c-007238536089,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,1896,Surface Velocity Profiler 2016P32,"Surface Velocity Profilers are designed to observe sea ice drift through GPS position measurements. The term SVP is used in various ways for many similar types of sensors utilized in ocean sciences, including a drogue to make the surface unit drift with the ocean currents and less with the wind. Our main application is to place the SVPs on sea ice to track the movement of a floe, but they may continue drifting in the ocean even after the floe has melted in summer.",300234064508370,MetOcean SVP-I-BDGS (FID4030),Surface Velocity Profiler (iSVP),https://hdl.handle.net/10013/sensor.1aec0722-4ee3-44ab-a646-99a000101292,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,1921,Automatic Weather Station BAS 2016A4,"The automatic weather station is designed to be installed on an ice floe, measuring air temperature, barometric pressure, relative humidity, short and long wave radiation as well as wind speed and direction at approx. 2m height. The platform reports GPS position and atmospheric data via iridium.",300234063608750,BASAWS,Weather station,https://hdl.handle.net/10013/sensor.7fb72433-68d1-4857-9e47-7b4e404fac9f,, 
buoy,1922,Automatic Weather Station BAS 2016A5,"The automatic weather station is designed to be installed on an ice floe, measuring air temperature, barometric pressure, relative humidity, short and long wave radiation as well as wind speed and direction at approx. 2m height. The platform reports GPS position and atmospheric data via iridium.",300234063608760,BASAWS,Weather station,https://hdl.handle.net/10013/sensor.b537abe3-5e1e-460a-ae26-c402b32d9a32,, 
buoy,1873,GPS Tracker 2016P44,GPS Trackers are designed to observe sea ice drift through GPS position measurements. Our main application is to place the GPS Tracker on sea ice to track the movement of a floe.,300434061228900,MetOcean iBCN-7500 (1.1.5),Surface Velocity Profiler (iSVP),https://hdl.handle.net/10013/sensor.69d8fb58-c68b-4cdc-80fe-e352987abe25,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,1874,GPS Tracker 2016P45,GPS Trackers are designed to observe sea ice drift through GPS position measurements. Our main application is to place the GPS Tracker on sea ice to track the movement of a floe.,300434061234000,MetOcean iBCN-7500 (1.1.5),Surface Velocity Profiler (iSVP),https://hdl.handle.net/10013/sensor.b5918bf0-056f-4dc0-8494-0d05a5ce9037,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,1876,GPS Tracker 2016P47,GPS Trackers are designed to observe sea ice drift through GPS position measurements. Our main application is to place the GPS Tracker on sea ice to track the movement of a floe.,300434061223890,MetOcean iBCN-7500 (1.1.5),Surface Velocity Profiler (iSVP),https://hdl.handle.net/10013/sensor.2df982a3-d40c-4c9e-8913-dbb88f813487,, 
buoy,2440,CALIB 2015C3,"CALIBS (Compact Air-Launched Ice Beacons) are designed to observe sea ice drift through GPS position measurements. Different from SVPs, they may be air-dropped from aircraft. This can be planes or copters.",300234061371430,MetOcean CALIB-I-B (FID4031),Calib,https://hdl.handle.net/10013/sensor.a3d2b67e-ad51-48e6-afe0-2ac99808eeb6,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,2292,Surface Velocity Profiler 2015P2,"Surface Velocity Profilers are designed to observe sea ice drift through GPS position measurements. The term SVP is used in various ways for many similar types of sensors utilized in ocean sciences, including a drogue to make the surface unit drift with the ocean currents and less with the wind. Our main application is to place the SVPs on sea ice to track the movement of a floe, but they may continue drifting in the ocean even after the floe has melted in summer.",300234061182700,MetOcean SVP-I-BXGS-P (FID4031),Surface Velocity Profiler (iSVP),https://hdl.handle.net/10013/sensor.230f4aa4-8b24-4a88-b62c-5b13fcde9deb,, 
buoy,2293,Surface Velocity Profiler 2015P3,"Surface Velocity Profilers are designed to observe sea ice drift through GPS position measurements. The term SVP is used in various ways for many similar types of sensors utilized in ocean sciences, including a drogue to make the surface unit drift with the ocean currents and less with the wind. Our main application is to place the SVPs on sea ice to track the movement of a floe, but they may continue drifting in the ocean even after the floe has melted in summer.",300234061772590,MetOcean SVP-I-BXGS-P (FID4031),Surface Velocity Profiler (iSVP),https://hdl.handle.net/10013/sensor.6681c4c3-1427-4086-b252-ac5b31091897,, 
buoy,2301,Thermistor Buoy 2014T13,"Thermistor string buoys (also referred to as ice mass balance buoys, IMBs) measure temperature and thermal conductivity through air, snow, sea ice and seawater. They are also often called SAMS IMBs, referring to the developer (Scottish Association for Marine Science). The 4.8 m long thermistor string features 240 embedded thermistors at a spacing of 2 cm (custom length/spacing also available) and 3m tail to aid deployment.. The temperature measurements and the response to cyclic heating of resistors enable the determination of snow depth and sea-ice thickness. The data are transmitted via 
Iridium at varying intervals.",300234061764860,SIMBA5m V1,Thermistor buoy,https://hdl.handle.net/10013/sensor.6b99d3ec-fb52-4e70-bbad-d5cdd72b61b4,, 
buoy,2306,Thermistor Buoy 2014T11,"Thermistor string buoys (also referred to as ice mass balance buoys, IMBs) measure temperature and thermal conductivity through air, snow, sea ice and seawater. They are also often called SAMS IMBs, referring to the developer (Scottish Association for Marine Science). The 4.8 m long thermistor string features 240 embedded thermistors at a spacing of 2 cm (custom length/spacing also available) and 3m tail to aid deployment.. The temperature measurements and the response to cyclic heating of resistors enable the determination of snow depth and sea-ice thickness. The data are transmitted via 
Iridium at varying intervals.",300234061867100,SIMBA5m V1,Thermistor buoy,https://hdl.handle.net/10013/sensor.b9a7153d-64ec-4877-aca9-7d747dfaaebc,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,2904,Radiation station 2018R6,,300025010126400,BruncinRadiation2018,Radiation Station,https://hdl.handle.net/10013/sensor.4a73f636-321f-4c14-91d4-41f0ce44a7ff,, 
buoy,2931,SVP-B Pacific Gyre 2019P90,Pacific Gyre SVP-B is a rugged open-ocean GPS drifter with a barometric sensor to track currents at 15 meters depth. ,300234067608220,PacificGyre ITP,Surface Velocity Profiler (iSVP),https://hdl.handle.net/10013/sensor.76044e74-6c95-4765-b0cc-89239fa70be4,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Annekathrin Bartsch
buoy,2784,Microstar Pacific Gyre 2018P75,The Pacific Gyre Microstar was specifically designed to meet the unique challenges of coastal environments as a shallow water small scale current measuring platform. ,300234011880340,PacificGyre IT2,Surface Velocity Profiler (iSVP),https://hdl.handle.net/10013/sensor.6285b367-69b1-45f8-8b01-3b5ff1aaf996,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Annekathrin Bartsch
buoy,1973,Surface Velocity Profiler 2015P8,"Surface Velocity Profilers are designed to observe sea ice drift through GPS position measurements. The term SVP is used in various ways for many similar types of sensors utilized in ocean sciences, including a drogue to make the surface unit drift with the ocean currents and less with the wind. Our main application is to place the SVPs on sea ice to track the movement of a floe, but they may continue drifting in the ocean even after the floe has melted in summer.",300234061774560,MetOcean SVP-I-BXGS-P (FID4031),Surface Velocity Profiler (iSVP),https://hdl.handle.net/10013/sensor.3895fd03-71be-472f-b990-24f4376065fe,, 
buoy,1980,Thermistor Buoy 2015T19,"Thermistor string buoys (also referred to as ice mass balance buoys, IMBs) measure temperature and thermal conductivity through air, snow, sea ice and seawater. They are also often called SAMS IMBs, referring to the developer (Scottish Association for Marine Science). The 4.8 m long thermistor string features 240 embedded thermistors at a spacing of 2 cm (custom length/spacing also available) and 3m tail to aid deployment.. The temperature measurements and the response to cyclic heating of resistors enable the determination of snow depth and sea-ice thickness. The data are transmitted via 
Iridium at varying intervals.",300234061264830,SIMBA5m V1,Thermistor buoy,https://hdl.handle.net/10013/sensor.ba60f217-0d21-4cb3-8176-8c8dd5ae39e5,, 
buoy,4304,Ice-tethered bioacoustics POPE,"A buoy that periodically downloads the data from an downward pointing ASL Environmental (AZFP) echosounder. AZFP data is available at the surface, wirelessly and remotely through a Kongsberg Maritime Broadband Radio (MBR) communications link. The buoy's position is transmitted via Iridium. On the surface, the buoy has attached a XEOS Rover transmitter that additionally reports the instruments GPS position, in case the POPE system fails. The unit can float. Together with the AZFP, a Wetlabs Ecotriplet is installed at a depth of 5m, with its light sensor pointing downwards. The AZFP's housing is darker to minimize reflection. AZFP55170 is downward looking after Dima confirmed on 13.02.20","306, IMEI 300234068560610",Norwegian University of Science and Technology,POPE3,https://hdl.handle.net/10013/sensor.68dd4833-6115-4777-aee0-a29aa28877e2,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Annekathrin Bartsch
buoy,4338,Radiation station R14,,100000000000030,,Radiation Station,https://hdl.handle.net/10013/sensor.8ae596b8-3096-4eef-bf98-ac17538357bc,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,4340,Radiation station R16,,100000000000050,,Radiation Station,https://hdl.handle.net/10013/sensor.a5749170-191b-4c97-b2df-9cbd897aafa1,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,4648,Piezoresistive Stress Sensors,,,,,https://hdl.handle.net/10013/sensor.7c5b350a-c7e8-43b8-9ff2-ab14f4bc9568,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Annekathrin Bartsch
buoy,4592,FIO_Fixed-Layer Ocean buoy,,,,,https://hdl.handle.net/10013/sensor.f84135fa-58f0-4d4e-861d-cf0fb164b886,"First Institute of Oceanography, Ministry of Natural Resources", Ma
buoy,4737,Digital thermistor chain 10 (2.56m) from central ice floe DTC network,,,,,https://hdl.handle.net/10013/sensor.e97de92d-3ca5-4843-8866-1bdbc847b015,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Mario Hoppmann
buoy,4741,Digital thermistor chain 14 (4.16m) from central ice floe DTC network,,,,,https://hdl.handle.net/10013/sensor.616c2360-5588-46b2-aec5-9c5ff01cf9ef,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Mario Hoppmann
buoy,4916,FMI Stress buoy 3,Geogon wibrating wire biaxial stressmeter to measure internal stress of sea ice. Use Cambell datalogger,,Geogon and Cambell,Model 4350BX (stress gauge) and  CRVW3 (3-Channel Vibrating-Wire Datalogger),https://hdl.handle.net/10013/sensor.94434efe-c9ff-43f6-8699-2fddd5ee8ab3,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Annekathrin Bartsch
buoy,4750,Digital thermistor chain 23 (4.16m) from central ice floe DTC network,,,,,https://hdl.handle.net/10013/sensor.bf8e56bb-56b9-4510-8fa8-52fa0f3d3b9a,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Mario Hoppmann
buoy,4759,Digital thermistor chain 32 (5.12m) from central ice floe DTC network,,,,,https://hdl.handle.net/10013/sensor.fea09684-fabd-43a2-9d8a-f00fa18af39b,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Mario Hoppmann
buoy,4761,Digital thermistor chain 34 (5.12m) from central ice floe DTC network,,,,,https://hdl.handle.net/10013/sensor.af50c873-3366-4010-8f97-9a4d2929e99a,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Mario Hoppmann
buoy,5837,Dynamic Ocean Topography (DOT) Buoy,,,,,https://hdl.handle.net/10013/sensor.6854a4ee-f553-466d-af00-28941c27132f,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Mario Hoppmann
buoy,5716,Pacific Gyre Universal Tracker 2019P182,GPS Tracker from Pacific Gyre: Universal Tracker or Ice Tracker,300234066419320,PacificGyre IT,Surface Velocity Profiler (iSVP),https://hdl.handle.net/10013/sensor.4205ac6c-2ed4-4339-85fa-4e59b3f91600,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,5722,Pacific Gyre Ice Tracker 2019P188,GPS Tracker from Pacific Gyre: Universal Tracker or Ice Tracker,300234068121990,PacificGyre IT,Surface Velocity Profiler (iSVP),https://hdl.handle.net/10013/sensor.38ee7932-0542-4025-85dc-d6db52b6539a,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,5767,TUT iSVP_PRIC 2019P137,"This is a GPS buoy to measure floe positions, including the sensors of GPS, and Pt resistance thermometer for surface air temperature measurement ",300234065090840,TUT iSVP,Surface Velocity Profiler (iSVP),https://hdl.handle.net/10013/sensor.bc5b4e88-1748-4b15-9a36-29b3e959a3f9,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,5726,Pacific Gyre Ice Tracker 2019P193,GPS Tracker from Pacific Gyre: Universal Tracker or Ice Tracker,300234068125990,PacificGyre IT,Surface Velocity Profiler (iSVP),https://hdl.handle.net/10013/sensor.3cfc2320-25fd-4568-9d06-53f22245b408,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,5999,SIMB3 2019I1,"SIMB3 is Cryosphere Innovations third generation Seasonal Ice Mass Balance buoy and flagship product. Designed with input from world leading scientists and researchers, SIMB3 was created to be the signature tool for autonomous mass balance monitoring of seasonal sea ice. A floating, spar-type buoy, SIMB3 is capable of mass balance measurement through the melt season and is survivable in open water. Once installed, SIMB3 directly measures ice growth and ablation using a pair of ice-facing acoustic rangefinders. By independently measuring ice surface and bottom position, SIMB3 can distinguish between surface and bottom melting. Because the positions are directly measured, this measurement can continue into the thin, isothermal, regime of the summer months.",300434063386850,CryoInn SIMB3,Seasonal Ice Mass Balance buoy,https://hdl.handle.net/10013/sensor.beded052-74b2-4801-9030-0d346d3dbce3,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,6009,Thermistor buoy SIMBA V7 2020T60,"Thermistor string buoys (also referred to as ice mass balance buoys, IMBs) measure temperature and thermal conductivity through air, snow, sea ice and seawater. They are also often called SAMS IMBs, referring to the developer (Scottish Association for Marine Science). The customizable thermistor string features embedded thermistors at a customizable spacing. The temperature measurements and the response to cyclic heating of resistors enable the determination of snow depth and sea-ice thickness. The data are transmitted via Iridium at varying intervals.",300234066299840,SIMBA5m V7,Thermistor buoy,https://hdl.handle.net/10013/sensor.8c2897ad-b032-4b8c-8f4d-14b80518dc41,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,6213,Autonomous Ocean Flux Buoy AOFB44,,300025060013160,,Flux Buoy,https://hdl.handle.net/10013/sensor.8f388295-c0d7-4a44-8b4c-3ce5f304d8e5,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Annekathrin Bartsch
buoy,5982,Thermistor buoy SIMBA V1 2019T47,"Thermistor string buoys (also referred to as ice mass balance buoys, IMBs) measure temperature and thermal conductivity through air, snow, sea ice and seawater. They are also often called SAMS IMBs, referring to the developer (Scottish Association for Marine Science). The customizable thermistor string features embedded thermistors at a customizable spacing. The temperature measurements and the response to cyclic heating of resistors enable the determination of snow depth and sea-ice thickness. The data are transmitted via Iridium at varying intervals.",300234064817930,SIMBA5m V1,Thermistor buoy,https://hdl.handle.net/10013/sensor.68d54397-dede-4c22-92de-bb369d63f237,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,5996,Thermistor buoy SIMBA V7 2019T67,"Thermistor string buoys (also referred to as ice mass balance buoys, IMBs) measure temperature and thermal conductivity through air, snow, sea ice and seawater. They are also often called SAMS IMBs, referring to the developer (Scottish Association for Marine Science). The customizable thermistor string features embedded thermistors at a customizable spacing. The temperature measurements and the response to cyclic heating of resistors enable the determination of snow depth and sea-ice thickness. The data are transmitted via Iridium at varying intervals.",300234068704730,SIMBA5m V7,Thermistor buoy,https://hdl.handle.net/10013/sensor.10e97fbb-82c6-453a-ac10-2052560cb75c,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
